shipment_id,origin,destination,distance_km,package_weight_kg,weather_severity,traffic_level,dispatch_hour,delay_hours,is_delayed
1,Bangalore,London,8881,24.68,1,4,1,192.85289530657687,1
2,Kolkata,Frankfurt,7354,14.04,4,3,9,153.58652092465735,1
3,Chennai,Singapore,1255,17.42,3,2,5,36.451263617718126,0
4,Kolkata,Singapore,5431,3.05,1,1,23,115.89513896759824,1
5,Kolkata,Frankfurt,6224,6.34,2,2,18,136.40925889500755,1
6,Mumbai,Frankfurt,4650,3.58,0,1,20,87.93541200292563,0
7,Chennai,Frankfurt,4560,9.82,4,2,10,102.47409609173499,0
8,Chennai,Dubai,5265,7.17,3,2,17,122.38037973199258,1
9,Chennai,Singapore,4112,18.35,1,4,15,91.24439740421688,0
10,Kolkata,Singapore,7053,2.81,0,3,7,149.47747350982146,1
11,Bangalore,Dubai,7878,18.83,3,4,3,173.96197797292592,1
12,Chennai,Frankfurt,2189,1.24,1,3,10,46.1526507780087,0
13,Kolkata,London,1816,5.13,4,2,9,55.48912364499987,0
14,Mumbai,Frankfurt,7630,19.82,2,1,15,160.0975039848445,1
15,Bangalore,Frankfurt,3686,18.6,2,4,11,87.31751407096714,0
16,Mumbai,Dubai,6289,11.96,4,1,21,125.46986310994733,1
17,Bangalore,Singapore,1645,1.34,0,4,2,44.872723991066565,0
18,Kolkata,Frankfurt,4894,15.29,4,4,10,114.41205170689568,1
19,Delhi,Singapore,8442,10.23,1,4,23,186.46095663861033,1
20,Bangalore,New York,8048,7.98,0,1,15,161.40367392847824,1
21,Mumbai,Singapore,1060,16.05,2,4,23,27.261708352007794,0
22,Kolkata,London,2412,10.97,1,4,2,54.328805026128336,0
23,Bangalore,London,2364,2.4,3,4,9,57.25510882496351,0
24,Delhi,Frankfurt,796,22.91,3,1,20,16.825767409343133,0
25,Delhi,Singapore,2909,19.48,3,4,15,77.13080011882997,0
26,Chennai,Frankfurt,8130,1.5,2,1,6,174.23848931465832,1
27,Chennai,Dubai,1961,13.17,4,3,14,50.24104149429972,0
28,Mumbai,London,4792,2.18,0,4,14,101.87620038957904,0
29,Bangalore,Frankfurt,2768,20.95,2,2,9,53.28259043340344,0
30,Bangalore,Dubai,1494,15.36,1,3,2,40.85980627651802,0
31,Chennai,Frankfurt,7054,4.39,1,1,5,152.84720054412924,1
32,Bangalore,Singapore,507,0.62,3,2,17,15.454026413702218,0
33,Bangalore,Singapore,3015,0.89,0,1,21,61.71607737111801,0
34,Delhi,Singapore,1917,12.73,3,1,4,47.011457306578656,0
